item_id,bucket,wins,losses,matches,players,avg_buy_time_s,avg_sell_time_s,avg_buy_time_relative,avg_sell_time_relative,hero_id,matches_per_player,win_rate,sell_minus_buy_s,hero_name,item_name,type
1797283378,0,36830,29348,66178,33453,1904.0786364048474,2218.886025768087,76.65194131096759,83.41311783720253,1,1.9782381251307806,0.5565293602103418,314.80738936323974,Infernus,Infuser,upgrade
1798666702,0,221,238,459,296,1425.7886710239652,2424.625,60.00887245193921,84.17370527084321,1,1.5506756756756757,0.48148148148148145,998.8363289760348,Infernus,Shadow Weave,upgrade
1804594021,0,120,205,325,287,1563.363076923077,2020.204081632653,69.70169324209989,79.03709179851344,1,1.132404181184669,0.36923076923076925,456.84100470957605,Infernus,Rescue Beam,upgrade
1813726886,0,9075,10067,19142,11545,1062.909518336642,2198.7494569152786,46.551679795820895,82.1533221032837,1,1.658033780857514,0.47408839201755304,1135.8399385786367,Infernus,Slowing Hex,upgrade
1925087134,0,56716,53962,110678,49363,880.3098899510292,2233.526533996683,38.973065029133295,82.76217638343755,1,2.2421246682738083,0.5124414969551311,1353.216644045654,Infernus,Suppressor,upgrade
1932939246,0,109,128,237,172,1452.970464135021,2396.076923076923,59.396689841465545,76.80907243049587,1,1.377906976744186,0.459915611814346,943.1064589419018,Infernus,Alchemical Fire,upgrade
1955841979,0,18298,16568,34866,23241,2345.1724315952506,2544.765410958904,84.087370392823,88.19276158067494,1,1.5001936233380664,0.5248092697757127,199.59297936365328,Infernus,Spellbreaker,upgrade
1976391348,0,8689,7480,16169,8232,908.1416290432309,1898.37211439072,39.38929178845312,75.20615421674096,1,1.9641642371234207,0.5373863566083246,990.2304853474892,Infernus,Cold Front,upgrade
1998374645,0,1545,1831,3376,2144,815.0213270142181,1506.1548933038998,34.79330162577307,61.88180500931325,1,1.5746268656716418,0.45764218009478674,691.1335662896818,Infernus,Mystic Burst,upgrade
2010028405,0,25718,26604,52322,23488,230.7689117388479,1144.168689552556,10.349389680403299,50.388911439876345,1,2.227605585831063,0.4915331982722373,913.3997778137082,Infernus,Headshot Booster,upgrade
2037039379,0,18206,15684,33890,22818,2374.8754794924757,2532.6169871794873,84.97528131100874,87.09449369058812,1,1.4852309580156018,0.5372086161109472,157.74150768701156,Infernus,Inhibitor,upgrade
2059712766,0,2602,2444,5046,2751,753.8824811732065,2015.3372093023256,34.710642943957886,78.96263998137735,1,1.8342420937840784,0.5156559651208878,1261.454728129119,Infernus,Restorative Locket,upgrade
2061878743,0,1945,3452,5397,4355,1730.449694274597,2433.634655532359,70.31542634804705,84.64788561286277,1,1.2392652123995407,0.36038539929590513,703.1849612577619,Infernus,Disarming Hex,upgrade
2064029594,0,2981,3711,6692,3847,778.2404363419008,2254.3103964098727,33.75501510322641,81.49735251959899,1,1.7395373017936053,0.4454572624028691,1476.0699600679718,Infernus,Opening Rounds,upgrade
2081037738,0,240669,236245,476914,156278,1089.2518693097707,1769.901796935583,47.69983185282364,73.82800379456695,1,3.0517027348699113,0.5046381527906499,680.6499276258123,Infernus,Mystic Vulnerability,upgrade
2095565695,0,615,675,1290,905,1537.0914728682171,2366.3818181818183,63.938574351915285,82.84903749372737,1,1.425414364640884,0.47674418604651164,829.2903453136012,Infernus,Point Blank,upgrade
2108215830,0,253,230,483,286,1248.0662525879918,2423.3478260869565,51.66250047262341,81.41008481503572,1,1.6888111888111887,0.5238095238095238,1175.2815734989647,Infernus,Heroic Aura,upgrade
2121044373,0,1624,1903,3527,2216,1682.6311312730365,2493.362445414847,66.5836042768907,83.17351758592234,1,1.5916064981949458,0.46044797278140065,810.7313141418106,Infernus,Tankbuster,upgrade
2142980412,0,882,864,1746,1267,2165.176403207331,2797.266666666667,79.57564561237797,87.14806323636144,1,1.378058405682715,0.5051546391752577,632.0902634593358,Infernus,Focus Lens,upgrade
2152872419,0,959,1134,2093,1236,1459.797419971333,2498.3928571428573,60.34657889023181,83.54888529283775,1,1.6933656957928802,0.45819397993311034,1038.5954371715243,Infernus,Sharpshooter,upgrade
2163598980,0,65380,69682,135062,65263,1729.5766833010025,2458.7744524327036,70.56430191387459,84.24288163298988,1,2.069503393959824,0.4840739808384298,729.1977691317011,Infernus,Spirit Resilience,upgrade
2221211450,0,2081,1603,3684,2918,2534.456568946797,2618.9479768786127,86.07335217109528,86.62091918847587,1,1.2625085675119945,0.5648751357220413,84.49140793181596,Infernus,Spellslinger,upgrade
2226497419,0,218193,193435,411628,141159,1645.3386528613214,1918.1084695393758,69.4045189935984,81.42472466583781,1,2.916059195658796,0.530073270039939,272.76981667805444,Infernus,Spiritual Overflow,upgrade
2356412290,0,252483,258678,511161,160990,736.7407353064885,2637.8399033846345,32.56846891865824,87.50034148977619,1,3.17511025529536,0.4939402653958342,1901.0991680781458,Infernus,Titanic Magazine,upgrade
2407033488,0,1091,1297,2388,1540,1126.2843383584589,2343.5827338129498,46.98013305156379,80.23351352414711,1,1.5506493506493506,0.4568676716917923,1217.298395454491,Infernus,Intensifying Magazine,upgrade
2407781327,0,487,423,910,715,2363.5692307692307,2730.9166666666665,84.04858794312061,88.71975617746324,1,1.2727272727272727,0.5351648351648352,367.34743589743584,Infernus,Colossus,upgrade
2417568017,0,6916,5616,12532,7270,1883.4565113309927,2402.0677966101694,75.94799541679846,85.33452706334724,1,1.723796423658872,0.5518672199170125,518.6112852791766,Infernus,Scourge,upgrade
